Site Name,Address,"Category
BCR=Bar, Club, or Restraurant
R=Residence
PV=Performance Avenue
CEI=Cultural or Educational Institutions
OCS=Organization or Community Spaces
        PS=Public Spaces       
SB=Store or Business ","Status
(Y=Existent; N=Non-Existent)","Cultural
Specifier
 Needed
(Y=yes; N=no)",Source Index
Bar Room 432,432 WEST 14TH STREET,BCR,Y,N,1
Mother Courage,342 WEST 11TH STREET,BCR,Y,G,1
Ramrod Bar,394-395 WEST STREET,BCR,Y,YG,1
Cubby Hole,438-444 HUDSON STREET,BCR,Y,N,1
Henrietta Hudson,438-444 HUDSON STREET,BCR,Y,N,1
Crazy Nanny's,21 SEVENTH AVENUE SOUTH,BCR,Y,G,1
Paradise Garage,84 KING STREET,BCR,N,G,1
Sea Colony,48-52 EIGHTH AVENUE,BCR,Y,Y,1
Uncle Charlie's,56 GREENWICH AVENUE,BCR,Y,N,1
Julius',159 WEST 10TH STREET,BCR,Y,N,1
Snake Pit,215 WEST 10TH STREET,BCR,Y,Y,1
Stonewall Inn,51-53 CHRISTOPHER STREET,BCR,Y,N,1
Stewart's Cafeteria,116 SEVENTH AVENUE SOUTH,BCR,Y,N,1
Pandora's Box,70 GROVE STREET,BCR,Y,YG,1
The Bagatelle,86 UNIVERSITY PLACE,BCR,Y,YG,1
Pfaff's,647 BROADWAY,BCR,Y,G,1
Mad Hatter,150 WEST 4TH STREET,BCR,Y,G,1
Pony Stable Inn,150 WEST 4TH STREET,BCR,Y,N,1
Mona's,135-141 WEST 3RD STREET,BCR,Y,G,1
Village Purple Onion,135-141 WEST 3RD STREET,BCR,Y,N,1
Eve's Hangout,129 MACDOUGAL STREET,BCR,Y,N,1
Tony Pastor's Downtown,130 WEST 3RD STREET,BCR,Y,N,1
Gay Community Center,130 WEST 3RD STREET,BCR,Y,N,1
Swing Rendezvous,117 MACDOUGAL STREET,BCR,Y,G,1
Pompier Restaurant,82 WEST 3RD STREET,BCR,Y,N,1
Tenth of Always,82 WEST 3RD STREET,BCR,Y,G,1
Bonnie & Clyde,82 WEST 3RD STREET,BCR,Y,YG,1
San Remo Cafe,189 BLEECKER STREET,BCR,Y,N,1
Black Rabbit,183 BLEECKER STREET,BCR,Y,G,1
Portofino,206 THOMPSON STREET,BCR,Y,Y,1
Eve Addams Tea Room,129 MACDOUGAL STREET,BCR,Y,N,2
The Snake Pit,135 CHARLES STREET,BCR,Y,G,2
Polly's Restaurant,133-139 MACDOUGAL STREET,BCR,Y,Y,2
Liberal Club,133-139 MACDOUGAL STREET,BCR,Y,G,2
Heterodoxy Club,133-139 MACDOUGAL STREET,BCR,Y,G,2
The Pyramid Club,101 AVENUE A,BCR,Y,N,2
The Slide ,157 BLEECKER STREET,BCR,Y,Y,2
Life Cafeteria,SHERIDAN SQUARE,BCR,Y,N,2
Scene One,432 HUDSON STREET,BCR,Y,YG,3
Le Bistroquet,90 BEDFORD STREET,BCR,Y,Y,3
Bleeker Street Bar,302 BLEECKER STREET,BCR,Y,Y,3
David's Pot Belly,98 CHRISTOPHER STREET,BCR,Y,N,3
Cafe Bohemia,17 BARROW STREET,BCR,Y,Y,3
"One if by Land, Two if by Sea",17 BARROW STREET,BCR,Y,Y,3
Boots and Saddles,61 GROVE STREET,BCR,Y,Y,3
Marie's Crisis,59 GROVE STREET,BCR,Y,Y,3
Upstairs/Downstairs,55 GROVE STREET,BCR,Y,YG,3
The Duplex,55 GROVE STREET,BCR,Y,Y,3
Rose's Turn,55 GROVE STREET,BCR,Y,G,3
Billy's,152 WAVERLY PLACE,BCR,Y,YG,3
Uncle Paul's,8 CHRISTOPHER STREET,BCR,Y,YG,3
Pharaoh's,8 CHRISTOPHER STREET,BCR,Y,YG,3
Pieces Bar,8 CHRISTOPHER STREET,BCR,Y,N,3
Headless Horseman,140 WEST 10TH STREET,BCR,Y,YG,3
Tor's Restaurant,21 GREENWICH AVENUE,BCR,Y,YG,3
Roger's,21 GREENWICH AVENUE,BCR,Y,YG,3
The New Colony,15 GREENWICH AVENUE,BCR,Y,G,3
Casual-aire,1 CHRISTOPHER STREET,BCR,Y,G,3
One Potato,518 HUDSON STREET,BCR,Y,G,3
Yellow Brick Road,228 WEST 10TH STREET,BCR,Y,YG,3
Jupiter Cafe,228 WEST 10TH STREET,BCR,Y,YG,3
Clyde's,218 WEST 10TH STREET,BCR,Y,YG,3
Aldo's,218 WEST 10TH STREET,BCR,Y,YG,3
Manatus,218 WEST 10TH STREET,BCR,Y,G,3
Casa Paco,330-338 BLEECKER STREET ,BCR,Y,Y,3
The Checkerboard,105 CHRISTOPHER STREET,BCR,Y,YG,3
The Leather Man,111 CHRISTOPHER STREET,BCR,Y,G,3
The Gallery Delicatessen,77 CHRISTOPHER STREET,BCR,Y,G,3
Green Hornet,115 CHRISTOPHER STREET,BCR,Y,YG,3
Duff's,115 CHRISTOPHER STREET,BCR,Y,G,3
The Hangar Bar,115 CHRISTOPHER STREET,BCR,Y,N,3
Carr's,204-206 WEST 10TH STREET,BCR,Y,YG,3
Buddy-Buddy Bar,679 GREENWICH STREET,BCR,Y,G,3
Danny's,679 GREENWICH STREET,BCR,Y,YG,3
The Village Stix,679 GREENWICH STREET,BCR,Y,N,3
All American Boy,501 HUDSON STREET,BCR,Y,YG,3
Trilogy,135 CHRISTOPHER STREET,BCR,Y,YG,3
Danny's Dancing,140 SEVENTH AVENUE SOUTH,BCR,Y,YG,3
Page Three,140 SEVENTH AVENUE SOUTH,BCR,Y,G,3
Woody's,140 SEVENTH AVENUE SOUTH,BCR,Y,YG,3
Nikkta,140 SEVENTH AVENUE SOUTH,BCR,Y,YG,3
Agave,140 SEVENTH AVENUE SOUTH,BCR,Y,YG,3
Edelweiss Club,137 SEVENTH AVENUE SOUTH,BCR,Y,N,3
SeeSaw,181 WEST 10TH STREET,BCR,Y,YG,3
The Chalice,181 WEST 10TH STREET,BCR,Y,YG,3
Peaches,181 WEST 10TH STREET,BCR,Y,YG,3
Ninth Circle,139 WEST 10TH STREET,BCR,Y,G,3
Charles the Fourth,49 CHARLES STREET ,BCR,Y,Y,3
Mama's Chick n' Rib,39 GREENWICH AVENUE ,BCR,Y,Y,3
Charlie and Kelly's,261 WEST 4TH STREET ,BCR,Y,G,3
Ruby Fruit Bar & Grill,528-536 HUDSON STREET,BCR,Y,Y,3
Horn of Plenty,91 CHARLES STREET ,BCR,Y,G,3
Tant Bella Casa,143 PERRY STREET,BCR,Y,YG,3
International Bar,117-119 PERRY STREET,BCR,Y,YG,3
The International Stud,117-119 PERRY STREET,BCR,Y,YG,3
Up in the Barn,314 WEST 11TH STREET ,BCR,Y,YG,3
Jeannie's Patio,48 WEST 8TH STREET,BCR,Y,Y,3
Dr. Feelgood's,101-105 WAVERLY PLACE,BCR,Y,YG,3
Omnibus,69 WEST 10TH STREET,BCR,Y,YG,3
Paula's bar,64 GREENWICH AVENUE,BCR,Y,G,3
Belly Button,68 GREENWICH AVENUE,BCR,Y,YG,3
Clit Club,432 WEST 14TH STREET,BCR,Y,G,4
Lee's Mardi Gras Ball,400 WEST 14TH STREET,BCR,Y,N,4
Puta Scandalosa At Mother,432 WEST 14TH STREET,BCR,Y,N,4
Her Bar,113 JANE STREET,BCR,Y,G,4
Industria Girl Parties,775 WASHINGTON STREET,BCR,Y,YG,4
The Rusty Knot,425 WEST STREET,BCR,Y,Y,4
Rubyfruit Bar,531 HUDSON STREET,BCR,Y,G,4
Yummy At Cafe Melville,110 BARROW STREET,BCR,Y,YG,4
Nell's Nightclub,246 WEST 14TH STREET,BCR,Y,N,4
Sea Colony,52 WEST 8TH AVENUE,BCR,Y,G,4
DT’s Fat Cat,281 WEST 12TH STREET,BCR,Y,N,4
Duchess,70 GROVE STREET,BCR,Y,Y,4
Skin-Tight At Tribal Lounge,22 7TH AVENUE SOUTH,BCR,Y,Y,4
220 Club,220 HOUSTON STREET,BCR,Y,YG,4
Bar D'O,29 BEDFORD STREET,BCR,Y,N,4
Circa At Trompe L'Oeil,55 CARMINE STREET,BCR,Y,YG,4
The Kitten Club,277 BLEECKER STREET,BCR,Y,YG,4
Hot Rabbit At The Monster,80 GROVE STREET,BCR,Y,N,4
Paula's,GREENWICH AVENUE NEXT DOOR TO UNCLE CHARLIE'S,BCR,Y,YG,4
Pam Pam's,6TH AVENUE AND WAVERLY PLACE,BCR,Y,YG,4
Moroccan Village,23 WEST 8TH STREET,BCR,Y,G,4
Bon Soir,40 WEST 8TH STREET,BCR,Y,G,4
La Femme,85 WASHINGTON PLACE,BCR,Y,YG,4
El Cafe,116 MACDOUGAL STREET,BCR,Y,YG,4
Jimmy Kelly's,181 SULLIVAN STREET,BCR,Y,G,4
The Life Club,158 BLEECKER STREET,BCR,Y,G,4
Howdy Club,47 WEST 3RD STREET,BCR,Y,N,4
Eden Club,432 LAFAYETTE STREET,BCR,Y,YG,4
The Saint Nightclub,432 LAFAYETTE STREET,BCR,Y,G,4
Anvil,500 WEST 14TH STREET,BCR,Y,Y,5
The Dugout,185 CHRISTOPHER STREET,BCR,Y,G,5
West Beach Bar & Grill,391 WEST STREET,BCR,Y,YG,5
Badlands Bar,392 WEST STREET,BCR,Y,G,5
Silver Dollar Restaurant,160 CHRISTOPHER STREET,BCR,Y,YG,5
Choo Choo's Pier,392 WEST 12TH STREET,BCR,Y,G,5
Sneakers,393 WEST 12TH STREET,BCR,Y,Y,5
Big Dollar ,49 E Houston Street,BCR,Y,YG,6
Club 82,82 EAST 4TH STREET,BCR,Y,G,6
Fedora,239 WEST 4TH STREET,BCR,Y,Y,6
The Finale Restraurant,48 BARROW STREET,BCR,Y,YG,6
The Five Oaks,49 GROVE STREET,BCR,Y,N,6
The Gold Bug,85 WEST 3RD STREET,BCR,Y,YG,6
J.B.'s,105 WEST 13TH STREET,BCR,Y,G,6
Kooky's,149 WEST 14TH STREET,BCR,Y,G,6
